PrintCopies,1
ATESTSTART,07/10/17 16:37:14
ATESTDATE,07/10/17
ATESTTIME,16:37:14
ASYSTEM,Chamber 2 Server
ASTATION,02-08
AREVISION,18065
APROCEDURE,Aham
ASIMULATED,0
ASYSTEMREV,3.924
ASTATESETTINGS,WATT,50.0,300.0,1000.0,0.50
RESULTFILE,rlattner\17P0094-18065-02-08
STESTMODE,0
SMAKEFILE,Aham
SOPERATOR,Randy Lattner
SOPERDIR,rlattner
SPRODUCTID,17P0094
SCOMMENT1,
SCOMMENT2,
SSTATEFILE,SSA
STEMPUNITS,F
SPLOTLIST1,VOLT;WATT;FREZ;CAB;ROOMTEMP;HUMIDITY
SPLOTLIST2,WATT;FREZ;CAB;TC3;TC4
SSTABLEGRP,Freezer and Cab,1 2
SSETTINGS,39/0
SRESULTREPORT,Aham+AStable
SAMBIENT,90°F,90
SAHAMSTANDARD,2014
SSAMPLERATE,50
SCHECKOTC,0
STESTNUMBER,
SRERUNFILE,
STESTREQNUM,350,Thermal performance approval testing - QD28 - Fastworks
SENGINEER,Martin Busche;mbusche
SMODEL,GSE25HMHBHES
SSERIALNUM,HG430790
SPRODUCTTYPE,SXS
STESTTYPE,Temperature Performance (No Load),TS0032
SCOMPTYPE,
SREFRTYPE,
SCHARGE,
SPOINTFILE,17P0096_SXS
SCABVOLUME,
SCABAUXVOLUME,
SFRZVOLUME,
SFRZAUXVOLUME,
SPLOTLIST3,
SPLOTLIST4,
SPLOTLIST5,
SPLOTLIST6,
SPLOTLIST7,
SPLOTLIST8,
SHUMIDITYENABLE,Y
SLAUXTYPE,
SHAUXTYPE,
SADCMINDEFR,10
SADCMAXDEFR,96
SBIMETALLENGTH,
SUSEYOK,
SLASTBIMETAL,18.6
SLASTRUN,11013
SLASTPARTRUN,0
SCHAINSETUP,
SNEXTTEST,
SPOINTFILE2,
SNEXTRESULTREPORT,
STESTTYPE2,
SCHAINSTARTTIME,
SORIGTESTER,
SORIGSTALL,
SORIGSTARTTIME,
SORIGENDTIME,
SORIGAMBIENT,
SCOMMENT1ORIG,
SCOMMENT2ORIG,
SORIGCONTROLSET,
SORIGTESTTYPE,
SORIGTESTNAME,
SORIGVOLT,
SORIGFREQ,
SORIGUNITS,
SORIGPOINTFILE,
SLOADTIME,
SPREVTESTNUM,
SPREVCABAVG,
SPREVFRZAVG,
SENGNUM,
SPOINTTREE,
STESTCNT,5
SEXTTEMPPERIOD,6 Hours,15
SONETEST,Yes
SSTABLESTART,Yes
SPRODHEIGHT,66.5
SDEFRCNT,Now,-1
SSTOPCOND,After Recovery,3
SCURLEAK,N
SNONUNIFORM,No
AMBMINLIM,89.00
AMBMAXLIM,91.00
